,file,format,type,num_seqs,sum_len,min_len,avg_len,max_len,long_short,accession,layout,reverse,genus_species,phenotype
17,ERR016645_1.fastq,FASTQ,DNA,1497991,89879460,60,60.0,60,short,ERR016645,paired,4,streptococcus_pneumoniae,Resistant
18,ERR016645_4.fastq,FASTQ,DNA,1497991,80891514,54,54.0,54,short,ERR016645,paired,NaN,streptococcus_pneumoniae,Resistant
19,ERR016646_1.fastq,FASTQ,DNA,836520,50191200,60,60.0,60,short,ERR016646,paired,4,streptococcus_pneumoniae,Resistant
20,ERR016646_4.fastq,FASTQ,DNA,836520,45172080,54,54.0,54,short,ERR016646,paired,NaN,streptococcus_pneumoniae,Resistant
21,ERR016648_1.fastq,FASTQ,DNA,1178350,70701000,60,60.0,60,short,ERR016648,paired,4,streptococcus_pneumoniae,Resistant
22,ERR016648_4.fastq,FASTQ,DNA,1178350,63630900,54,54.0,54,short,ERR016648,paired,NaN,streptococcus_pneumoniae,Resistant
23,ERR016650_1.fastq,FASTQ,DNA,381428,22885680,60,60.0,60,short,ERR016650,paired,4,streptococcus_pneumoniae,Resistant
24,ERR016650_4.fastq,FASTQ,DNA,381428,20597112,54,54.0,54,short,ERR016650,paired,NaN,streptococcus_pneumoniae,Resistant
25,ERR016652_1.fastq,FASTQ,DNA,1217748,73064880,60,60.0,60,short,ERR016652,paired,4,streptococcus_pneumoniae,Resistant
26,ERR016652_4.fastq,FASTQ,DNA,1217748,65758392,54,54.0,54,short,ERR016652,paired,NaN,streptococcus_pneumoniae,Resistant
27,ERR016653_1.fastq,FASTQ,DNA,6501388,390083280,60,60.0,60,short,ERR016653,paired,4,streptococcus_pneumoniae,Resistant
28,ERR016653_4.fastq,FASTQ,DNA,6501388,351074952,54,54.0,54,short,ERR016653,paired,NaN,streptococcus_pneumoniae,Resistant
29,ERR016654_1.fastq,FASTQ,DNA,688282,41296920,60,60.0,60,short,ERR016654,paired,4,streptococcus_pneumoniae,Resistant
30,ERR016654_4.fastq,FASTQ,DNA,688282,37167228,54,54.0,54,short,ERR016654,paired,NaN,streptococcus_pneumoniae,Resistant
31,ERR016655_1.fastq,FASTQ,DNA,877377,52642620,60,60.0,60,short,ERR016655,paired,4,streptococcus_pneumoniae,Resistant
32,ERR016655_4.fastq,FASTQ,DNA,877377,47378358,54,54.0,54,short,ERR016655,paired,NaN,streptococcus_pneumoniae,Resistant
33,ERR016656_1.fastq,FASTQ,DNA,905563,54333780,60,60.0,60,short,ERR016656,paired,4,streptococcus_pneumoniae,Resistant
34,ERR016656_4.fastq,FASTQ,DNA,905563,48900402,54,54.0,54,short,ERR016656,paired,NaN,streptococcus_pneumoniae,Resistant
35,ERR016657_1.fastq,FASTQ,DNA,119790,7156593,53,59.7,60,short,ERR016657,paired,4,streptococcus_pneumoniae,Resistant
36,ERR016657_4.fastq,FASTQ,DNA,119790,6468660,54,54.0,54,short,ERR016657,paired,NaN,streptococcus_pneumoniae,Resistant
37,ERR016658_1.fastq,FASTQ,DNA,319662,19179720,60,60.0,60,short,ERR016658,paired,4,streptococcus_pneumoniae,Resistant
38,ERR016658_4.fastq,FASTQ,DNA,319662,17261748,54,54.0,54,short,ERR016658,paired,NaN,streptococcus_pneumoniae,Resistant
39,ERR016663_1.fastq,FASTQ,DNA,840248,50414880,60,60.0,60,short,ERR016663,paired,4,streptococcus_pneumoniae,Resistant
40,ERR016663_4.fastq,FASTQ,DNA,840248,45373392,54,54.0,54,short,ERR016663,paired,NaN,streptococcus_pneumoniae,Resistant
41,ERR016664_1.fastq,FASTQ,DNA,1220178,73210680,60,60.0,60,short,ERR016664,paired,4,streptococcus_pneumoniae,Resistant
42,ERR016664_4.fastq,FASTQ,DNA,1220178,65889612,54,54.0,54,short,ERR016664,paired,NaN,streptococcus_pneumoniae,Resistant
43,ERR016666_1.fastq,FASTQ,DNA,1387600,83256000,60,60.0,60,short,ERR016666,paired,4,streptococcus_pneumoniae,Resistant
44,ERR016666_4.fastq,FASTQ,DNA,1387600,74930400,54,54.0,54,short,ERR016666,paired,NaN,streptococcus_pneumoniae,Resistant
45,ERR016668_1.fastq,FASTQ,DNA,2688683,161320980,60,60.0,60,short,ERR016668,paired,4,streptococcus_pneumoniae,Resistant
46,ERR016668_4.fastq,FASTQ,DNA,2688683,145188882,54,54.0,54,short,ERR016668,paired,NaN,streptococcus_pneumoniae,Resistant
47,ERR016669_1.fastq,FASTQ,DNA,91466,5470339,53,59.8,60,short,ERR016669,paired,4,streptococcus_pneumoniae,Resistant
48,ERR016669_4.fastq,FASTQ,DNA,91466,4939164,54,54.0,54,short,ERR016669,paired,NaN,streptococcus_pneumoniae,Resistant
49,ERR016670_1.fastq,FASTQ,DNA,1294963,77697780,60,60.0,60,short,ERR016670,paired,4,streptococcus_pneumoniae,Resistant
50,ERR016670_4.fastq,FASTQ,DNA,1294963,69928002,54,54.0,54,short,ERR016670,paired,NaN,streptococcus_pneumoniae,Resistant
51,ERR016672_1.fastq,FASTQ,DNA,1351819,81109140,60,60.0,60,short,ERR016672,paired,4,streptococcus_pneumoniae,Resistant
52,ERR016672_4.fastq,FASTQ,DNA,1351819,72998226,54,54.0,54,short,ERR016672,paired,NaN,streptococcus_pneumoniae,Resistant
53,ERR016679_1.fastq,FASTQ,DNA,651335,39080100,60,60.0,60,short,ERR016679,paired,4,streptococcus_pneumoniae,Resistant
54,ERR016679_4.fastq,FASTQ,DNA,651335,35172090,54,54.0,54,short,ERR016679,paired,NaN,streptococcus_pneumoniae,Resistant
55,ERR016681_1.fastq,FASTQ,DNA,855264,51315840,60,60.0,60,short,ERR016681,paired,4,streptococcus_pneumoniae,Resistant
56,ERR016681_4.fastq,FASTQ,DNA,855264,46184256,54,54.0,54,short,ERR016681,paired,NaN,streptococcus_pneumoniae,Resistant
57,ERR016691_1.fastq,FASTQ,DNA,112831,6743600,53,59.8,60,short,ERR016691,paired,4,streptococcus_pneumoniae,Resistant
58,ERR016691_4.fastq,FASTQ,DNA,112831,6092874,54,54.0,54,short,ERR016691,paired,NaN,streptococcus_pneumoniae,Resistant
59,ERR016694_1.fastq,FASTQ,DNA,958408,57504480,60,60.0,60,short,ERR016694,paired,4,streptococcus_pneumoniae,Resistant
60,ERR016694_4.fastq,FASTQ,DNA,958408,51754032,54,54.0,54,short,ERR016694,paired,NaN,streptococcus_pneumoniae,Resistant
61,ERR016695_1.fastq,FASTQ,DNA,2901997,174119820,60,60.0,60,short,ERR016695,paired,4,streptococcus_pneumoniae,Resistant
62,ERR016695_4.fastq,FASTQ,DNA,2901997,156707838,54,54.0,54,short,ERR016695,paired,NaN,streptococcus_pneumoniae,Resistant
63,ERR016699_1.fastq,FASTQ,DNA,821902,49314120,60,60.0,60,short,ERR016699,paired,4,streptococcus_pneumoniae,Resistant
64,ERR016699_4.fastq,FASTQ,DNA,821902,44382708,54,54.0,54,short,ERR016699,paired,NaN,streptococcus_pneumoniae,Resistant
65,ERR016700_1.fastq,FASTQ,DNA,1145780,68746800,60,60.0,60,short,ERR016700,paired,4,streptococcus_pneumoniae,Resistant
66,ERR016700_4.fastq,FASTQ,DNA,1145780,61872120,54,54.0,54,short,ERR016700,paired,NaN,streptococcus_pneumoniae,Resistant
67,ERR016713_1.fastq,FASTQ,DNA,239688,14323387,53,59.8,60,short,ERR016713,paired,4,streptococcus_pneumoniae,Resistant
68,ERR016713_4.fastq,FASTQ,DNA,239688,12943152,54,54.0,54,short,ERR016713,paired,NaN,streptococcus_pneumoniae,Resistant
69,ERR016721_1.fastq,FASTQ,DNA,2379339,142760340,60,60.0,60,short,ERR016721,paired,4,streptococcus_pneumoniae,Resistant
70,ERR016721_4.fastq,FASTQ,DNA,2379339,128484306,54,54.0,54,short,ERR016721,paired,NaN,streptococcus_pneumoniae,Resistant
71,ERR016723_1.fastq,FASTQ,DNA,157420,9406747,53,59.8,60,short,ERR016723,paired,4,streptococcus_pneumoniae,Susceptible
72,ERR016723_4.fastq,FASTQ,DNA,157420,8500680,54,54.0,54,short,ERR016723,paired,NaN,streptococcus_pneumoniae,Susceptible
73,ERR016725_1.fastq,FASTQ,DNA,581729,34903740,60,60.0,60,short,ERR016725,paired,4,streptococcus_pneumoniae,Susceptible
74,ERR016725_4.fastq,FASTQ,DNA,581729,31413366,54,54.0,54,short,ERR016725,paired,NaN,streptococcus_pneumoniae,Susceptible
75,ERR016728_1.fastq,FASTQ,DNA,858362,51501720,60,60.0,60,short,ERR016728,paired,4,streptococcus_pneumoniae,Resistant
76,ERR016728_4.fastq,FASTQ,DNA,858362,46351548,54,54.0,54,short,ERR016728,paired,NaN,streptococcus_pneumoniae,Resistant
77,ERR016729_1.fastq,FASTQ,DNA,1194190,71651400,60,60.0,60,short,ERR016729,paired,4,streptococcus_pneumoniae,Resistant
78,ERR016729_4.fastq,FASTQ,DNA,1194190,64486260,54,54.0,54,short,ERR016729,paired,NaN,streptococcus_pneumoniae,Resistant
79,ERR016733_1.fastq,FASTQ,DNA,198589,11845449,53,59.6,60,short,ERR016733,paired,4,streptococcus_pneumoniae,Susceptible
80,ERR016733_4.fastq,FASTQ,DNA,198589,10723806,54,54.0,54,short,ERR016733,paired,NaN,streptococcus_pneumoniae,Susceptible
81,ERR016736_1.fastq,FASTQ,DNA,754296,45257760,60,60.0,60,short,ERR016736,paired,4,streptococcus_pneumoniae,Susceptible
82,ERR016736_4.fastq,FASTQ,DNA,754296,40731984,54,54.0,54,short,ERR016736,paired,NaN,streptococcus_pneumoniae,Susceptible
83,ERR016745_1.fastq,FASTQ,DNA,871261,52275660,60,60.0,60,short,ERR016745,paired,4,streptococcus_pneumoniae,Intermediate
84,ERR016745_4.fastq,FASTQ,DNA,871261,47048094,54,54.0,54,short,ERR016745,paired,NaN,streptococcus_pneumoniae,Intermediate
85,ERR016746_1.fastq,FASTQ,DNA,80488,4806551,53,59.7,60,short,ERR016746,paired,4,streptococcus_pneumoniae,Resistant
86,ERR016746_4.fastq,FASTQ,DNA,80488,4346352,54,54.0,54,short,ERR016746,paired,NaN,streptococcus_pneumoniae,Resistant
87,ERR016747_1.fastq,FASTQ,DNA,942018,56521080,60,60.0,60,short,ERR016747,paired,4,streptococcus_pneumoniae,Resistant
88,ERR016747_4.fastq,FASTQ,DNA,942018,50868972,54,54.0,54,short,ERR016747,paired,NaN,streptococcus_pneumoniae,Resistant
89,ERR016750_1.fastq,FASTQ,DNA,2859648,171578880,60,60.0,60,short,ERR016750,paired,4,streptococcus_pneumoniae,Resistant
90,ERR016750_4.fastq,FASTQ,DNA,2859648,154420992,54,54.0,54,short,ERR016750,paired,NaN,streptococcus_pneumoniae,Resistant
91,ERR016751_1.fastq,FASTQ,DNA,805083,48304980,60,60.0,60,short,ERR016751,paired,4,streptococcus_pneumoniae,Resistant
92,ERR016751_4.fastq,FASTQ,DNA,805083,43474482,54,54.0,54,short,ERR016751,paired,NaN,streptococcus_pneumoniae,Resistant
93,ERR016753_1.fastq,FASTQ,DNA,791227,47473620,60,60.0,60,short,ERR016753,paired,4,streptococcus_pneumoniae,Resistant
94,ERR016753_4.fastq,FASTQ,DNA,791227,42726258,54,54.0,54,short,ERR016753,paired,NaN,streptococcus_pneumoniae,Resistant
95,ERR016756_1.fastq,FASTQ,DNA,733709,44022540,60,60.0,60,short,ERR016756,paired,4,streptococcus_pneumoniae,Resistant
96,ERR016756_4.fastq,FASTQ,DNA,733709,39620286,54,54.0,54,short,ERR016756,paired,NaN,streptococcus_pneumoniae,Resistant
97,ERR016758_1.fastq,FASTQ,DNA,672866,40371960,60,60.0,60,short,ERR016758,paired,4,streptococcus_pneumoniae,Resistant
98,ERR016758_4.fastq,FASTQ,DNA,672866,36334764,54,54.0,54,short,ERR016758,paired,NaN,streptococcus_pneumoniae,Resistant
99,ERR016759_1.fastq,FASTQ,DNA,128069,7645434,53,59.7,60,short,ERR016759,paired,4,streptococcus_pneumoniae,Resistant
100,ERR016759_4.fastq,FASTQ,DNA,128069,6915726,54,54.0,54,short,ERR016759,paired,NaN,streptococcus_pneumoniae,Resistant
101,ERR016766_1.fastq,FASTQ,DNA,791047,47462820,60,60.0,60,short,ERR016766,paired,4,streptococcus_pneumoniae,Resistant
102,ERR016766_4.fastq,FASTQ,DNA,791047,42716538,54,54.0,54,short,ERR016766,paired,NaN,streptococcus_pneumoniae,Resistant
103,ERR016769_1.fastq,FASTQ,DNA,1152434,69146040,60,60.0,60,short,ERR016769,paired,4,streptococcus_pneumoniae,Resistant
104,ERR016769_4.fastq,FASTQ,DNA,1152434,62231436,54,54.0,54,short,ERR016769,paired,NaN,streptococcus_pneumoniae,Resistant
105,ERR016772_1.fastq,FASTQ,DNA,191318,11420918,53,59.7,60,short,ERR016772,paired,4,streptococcus_pneumoniae,Resistant
106,ERR016772_4.fastq,FASTQ,DNA,191318,10331172,54,54.0,54,short,ERR016772,paired,NaN,streptococcus_pneumoniae,Resistant
107,ERR016777_1.fastq,FASTQ,DNA,2065420,123925200,60,60.0,60,short,ERR016777,paired,4,streptococcus_pneumoniae,Resistant
108,ERR016777_4.fastq,FASTQ,DNA,2065420,111532680,54,54.0,54,short,ERR016777,paired,NaN,streptococcus_pneumoniae,Resistant
109,ERR016782_1.fastq,FASTQ,DNA,2104721,126283260,60,60.0,60,short,ERR016782,paired,4,streptococcus_pneumoniae,Resistant
110,ERR016782_4.fastq,FASTQ,DNA,2104721,113654934,54,54.0,54,short,ERR016782,paired,NaN,streptococcus_pneumoniae,Resistant
111,ERR016785_1.fastq,FASTQ,DNA,140718,8400693,53,59.7,60,short,ERR016785,paired,4,streptococcus_pneumoniae,Resistant
112,ERR016785_4.fastq,FASTQ,DNA,140718,7598772,54,54.0,54,short,ERR016785,paired,NaN,streptococcus_pneumoniae,Resistant
113,ERR016794_1.fastq,FASTQ,DNA,2680925,160855500,60,60.0,60,short,ERR016794,paired,4,streptococcus_pneumoniae,Resistant
114,ERR016794_4.fastq,FASTQ,DNA,2680925,144769950,54,54.0,54,short,ERR016794,paired,NaN,streptococcus_pneumoniae,Resistant
115,ERR016798_1.fastq,FASTQ,DNA,127567,7617025,53,59.7,60,short,ERR016798,paired,4,streptococcus_pneumoniae,Resistant
116,ERR016798_4.fastq,FASTQ,DNA,127567,6888618,54,54.0,54,short,ERR016798,paired,NaN,streptococcus_pneumoniae,Resistant
117,ERR016800_1.fastq,FASTQ,DNA,1009391,60563460,60,60.0,60,short,ERR016800,paired,4,streptococcus_pneumoniae,Resistant
118,ERR016800_4.fastq,FASTQ,DNA,1009391,54507114,54,54.0,54,short,ERR016800,paired,NaN,streptococcus_pneumoniae,Resistant
119,ERR016802_1.fastq,FASTQ,DNA,2088624,125317440,60,60.0,60,short,ERR016802,paired,4,streptococcus_pneumoniae,Resistant
120,ERR016802_4.fastq,FASTQ,DNA,2088624,112785696,54,54.0,54,short,ERR016802,paired,NaN,streptococcus_pneumoniae,Resistant
121,ERR016837_1.fastq,FASTQ,DNA,143748,8582553,53,59.7,60,short,ERR016837,paired,4,streptococcus_pneumoniae,Susceptible
122,ERR016837_4.fastq,FASTQ,DNA,143748,7762392,54,54.0,54,short,ERR016837,paired,NaN,streptococcus_pneumoniae,Susceptible
123,ERR016839_1.fastq,FASTQ,DNA,2019704,121182240,60,60.0,60,short,ERR016839,paired,4,streptococcus_pneumoniae,Susceptible
124,ERR016839_4.fastq,FASTQ,DNA,2019704,109064016,54,54.0,54,short,ERR016839,paired,NaN,streptococcus_pneumoniae,Susceptible
125,ERR016840_1.fastq,FASTQ,DNA,1960572,117634320,60,60.0,60,short,ERR016840,paired,4,streptococcus_pneumoniae,Resistant
126,ERR016840_4.fastq,FASTQ,DNA,1960572,105870888,54,54.0,54,short,ERR016840,paired,NaN,streptococcus_pneumoniae,Resistant
127,ERR016843_1.fastq,FASTQ,DNA,1370524,82231440,60,60.0,60,short,ERR016843,paired,4,streptococcus_pneumoniae,Susceptible
128,ERR016843_4.fastq,FASTQ,DNA,1370524,74008296,54,54.0,54,short,ERR016843,paired,NaN,streptococcus_pneumoniae,Susceptible
129,ERR016847_1.fastq,FASTQ,DNA,1652591,99155460,60,60.0,60,short,ERR016847,paired,4,streptococcus_pneumoniae,Susceptible
130,ERR016847_4.fastq,FASTQ,DNA,1652591,89239914,54,54.0,54,short,ERR016847,paired,NaN,streptococcus_pneumoniae,Susceptible
131,ERR016850_1.fastq,FASTQ,DNA,132648,7933775,53,59.8,60,short,ERR016850,paired,4,streptococcus_pneumoniae,Resistant
132,ERR016850_4.fastq,FASTQ,DNA,132648,7162992,54,54.0,54,short,ERR016850,paired,NaN,streptococcus_pneumoniae,Resistant
133,ERR016857_1.fastq,FASTQ,DNA,2305964,138357840,60,60.0,60,short,ERR016857,paired,4,streptococcus_pneumoniae,Resistant
134,ERR016857_4.fastq,FASTQ,DNA,2305964,124522056,54,54.0,54,short,ERR016857,paired,NaN,streptococcus_pneumoniae,Resistant
135,ERR016860_1.fastq,FASTQ,DNA,2329822,139789320,60,60.0,60,short,ERR016860,paired,4,streptococcus_pneumoniae,Resistant
136,ERR016860_4.fastq,FASTQ,DNA,2329822,125810388,54,54.0,54,short,ERR016860,paired,NaN,streptococcus_pneumoniae,Resistant
137,ERR018818_1.fastq,FASTQ,DNA,297875,17778562,53,59.7,60,short,ERR018818,paired,4,streptococcus_pneumoniae,Resistant
138,ERR018818_4.fastq,FASTQ,DNA,297875,16085250,54,54.0,54,short,ERR018818,paired,NaN,streptococcus_pneumoniae,Resistant
139,ERR018823_1.fastq,FASTQ,DNA,1596502,95790120,60,60.0,60,short,ERR018823,paired,4,streptococcus_pneumoniae,Resistant
140,ERR018823_4.fastq,FASTQ,DNA,1596502,86211108,54,54.0,54,short,ERR018823,paired,NaN,streptococcus_pneumoniae,Resistant
141,ERR018826_1.fastq,FASTQ,DNA,1662888,99773280,60,60.0,60,short,ERR018826,paired,4,streptococcus_pneumoniae,Resistant
142,ERR018826_4.fastq,FASTQ,DNA,1662888,89795952,54,54.0,54,short,ERR018826,paired,NaN,streptococcus_pneumoniae,Resistant
143,ERR019700_1.fastq,FASTQ,DNA,45994,2748711,53,59.8,60,short,ERR019700,paired,4,streptococcus_pneumoniae,Resistant
144,ERR019700_4.fastq,FASTQ,DNA,45994,2483676,54,54.0,54,short,ERR019700,paired,NaN,streptococcus_pneumoniae,Resistant
145,ERR019702_1.fastq,FASTQ,DNA,375463,22527780,60,60.0,60,short,ERR019702,paired,4,streptococcus_pneumoniae,Resistant
146,ERR019702_4.fastq,FASTQ,DNA,375463,20275002,54,54.0,54,short,ERR019702,paired,NaN,streptococcus_pneumoniae,Resistant
147,ERR019703_1.fastq,FASTQ,DNA,357590,21455400,60,60.0,60,short,ERR019703,paired,4,streptococcus_pneumoniae,Resistant
148,ERR019703_4.fastq,FASTQ,DNA,357590,19309860,54,54.0,54,short,ERR019703,paired,NaN,streptococcus_pneumoniae,Resistant
149,ERR019710_1.fastq,FASTQ,DNA,572218,34333080,60,60.0,60,short,ERR019710,paired,4,streptococcus_pneumoniae,Resistant
150,ERR019710_4.fastq,FASTQ,DNA,572218,30899772,54,54.0,54,short,ERR019710,paired,NaN,streptococcus_pneumoniae,Resistant
151,ERR019713_1.fastq,FASTQ,DNA,45070,2697596,53,59.9,60,short,ERR019713,paired,4,streptococcus_pneumoniae,Resistant
152,ERR019713_4.fastq,FASTQ,DNA,45070,2433780,54,54.0,54,short,ERR019713,paired,NaN,streptococcus_pneumoniae,Resistant
153,ERR019714_1.fastq,FASTQ,DNA,278517,16711020,60,60.0,60,short,ERR019714,paired,4,streptococcus_pneumoniae,Resistant
154,ERR019714_4.fastq,FASTQ,DNA,278517,15039918,54,54.0,54,short,ERR019714,paired,NaN,streptococcus_pneumoniae,Resistant
155,ERR019719_1.fastq,FASTQ,DNA,362806,21768360,60,60.0,60,short,ERR019719,paired,4,streptococcus_pneumoniae,Resistant
156,ERR019719_4.fastq,FASTQ,DNA,362806,19591524,54,54.0,54,short,ERR019719,paired,NaN,streptococcus_pneumoniae,Resistant
157,ERR019720_1.fastq,FASTQ,DNA,562100,33726000,60,60.0,60,short,ERR019720,paired,4,streptococcus_pneumoniae,Resistant
158,ERR019720_4.fastq,FASTQ,DNA,562100,30353400,54,54.0,54,short,ERR019720,paired,NaN,streptococcus_pneumoniae,Resistant
159,ERR019723_1.fastq,FASTQ,DNA,530023,31801380,60,60.0,60,short,ERR019723,paired,4,streptococcus_pneumoniae,Resistant
160,ERR019723_4.fastq,FASTQ,DNA,530023,28621242,54,54.0,54,short,ERR019723,paired,NaN,streptococcus_pneumoniae,Resistant
161,ERR019724_1.fastq,FASTQ,DNA,154311,9225466,53,59.8,60,short,ERR019724,paired,4,streptococcus_pneumoniae,Resistant
162,ERR019724_4.fastq,FASTQ,DNA,154311,8332794,54,54.0,54,short,ERR019724,paired,NaN,streptococcus_pneumoniae,Resistant
163,ERR019725_1.fastq,FASTQ,DNA,1449856,86991360,60,60.0,60,short,ERR019725,paired,4,streptococcus_pneumoniae,Resistant
164,ERR019725_4.fastq,FASTQ,DNA,1449856,78292224,54,54.0,54,short,ERR019725,paired,NaN,streptococcus_pneumoniae,Resistant
165,ERR019731_1.fastq,FASTQ,DNA,2962811,177768660,60,60.0,60,short,ERR019731,paired,4,streptococcus_pneumoniae,Resistant
166,ERR019731_4.fastq,FASTQ,DNA,2962811,159991794,54,54.0,54,short,ERR019731,paired,NaN,streptococcus_pneumoniae,Resistant
167,ERR019734_1.fastq,FASTQ,DNA,2977333,178639980,60,60.0,60,short,ERR019734,paired,4,streptococcus_pneumoniae,Resistant
168,ERR019734_4.fastq,FASTQ,DNA,2977333,160775982,54,54.0,54,short,ERR019734,paired,NaN,streptococcus_pneumoniae,Resistant
169,ERR023417_1.fastq,FASTQ,DNA,240729,14388804,53,59.8,60,short,ERR023417,paired,4,streptococcus_pneumoniae,Resistant
170,ERR023417_4.fastq,FASTQ,DNA,240729,12999366,54,54.0,54,short,ERR023417,paired,NaN,streptococcus_pneumoniae,Resistant
171,ERR023426_1.fastq,FASTQ,DNA,2431295,145877700,60,60.0,60,short,ERR023426,paired,4,streptococcus_pneumoniae,Resistant
172,ERR023426_4.fastq,FASTQ,DNA,2431295,131289930,54,54.0,54,short,ERR023426,paired,NaN,streptococcus_pneumoniae,Resistant
173,ERR023428_1.fastq,FASTQ,DNA,281502,16823552,53,59.8,60,short,ERR023428,paired,4,streptococcus_pneumoniae,Susceptible
174,ERR023428_4.fastq,FASTQ,DNA,281502,15201108,54,54.0,54,short,ERR023428,paired,NaN,streptococcus_pneumoniae,Susceptible
175,ERR023429_1.fastq,FASTQ,DNA,2144801,128688060,60,60.0,60,short,ERR023429,paired,4,streptococcus_pneumoniae,Resistant
176,ERR023429_4.fastq,FASTQ,DNA,2144801,115819254,54,54.0,54,short,ERR023429,paired,NaN,streptococcus_pneumoniae,Resistant
177,ERR023434_1.fastq,FASTQ,DNA,3060679,183640740,60,60.0,60,short,ERR023434,paired,4,streptococcus_pneumoniae,Susceptible
178,ERR023434_4.fastq,FASTQ,DNA,3060679,165276666,54,54.0,54,short,ERR023434,paired,NaN,streptococcus_pneumoniae,Susceptible
179,ERR023438_1.fastq,FASTQ,DNA,1861475,111688500,60,60.0,60,short,ERR023438,paired,4,streptococcus_pneumoniae,Resistant
180,ERR023438_4.fastq,FASTQ,DNA,1861475,100519650,54,54.0,54,short,ERR023438,paired,NaN,streptococcus_pneumoniae,Resistant
181,ERR023439_1.fastq,FASTQ,DNA,187455,11207563,53,59.8,60,short,ERR023439,paired,4,streptococcus_pneumoniae,Resistant
182,ERR023439_4.fastq,FASTQ,DNA,187455,10122570,54,54.0,54,short,ERR023439,paired,NaN,streptococcus_pneumoniae,Resistant
183,ERR023449_1.fastq,FASTQ,DNA,2103668,126220080,60,60.0,60,short,ERR023449,paired,4,streptococcus_pneumoniae,Resistant
184,ERR023449_4.fastq,FASTQ,DNA,2103668,113598072,54,54.0,54,short,ERR023449,paired,NaN,streptococcus_pneumoniae,Resistant
185,ERR023450_1.fastq,FASTQ,DNA,166484,9952853,53,59.8,60,short,ERR023450,paired,4,streptococcus_pneumoniae,Susceptible
186,ERR023450_4.fastq,FASTQ,DNA,166484,8990136,54,54.0,54,short,ERR023450,paired,NaN,streptococcus_pneumoniae,Susceptible
187,ERR023451_1.fastq,FASTQ,DNA,2045397,122723820,60,60.0,60,short,ERR023451,paired,4,streptococcus_pneumoniae,Resistant
188,ERR023451_4.fastq,FASTQ,DNA,2045397,110451438,54,54.0,54,short,ERR023451,paired,NaN,streptococcus_pneumoniae,Resistant
189,ERR023453_1.fastq,FASTQ,DNA,1558701,93522060,60,60.0,60,short,ERR023453,paired,4,streptococcus_pneumoniae,Resistant
190,ERR023453_4.fastq,FASTQ,DNA,1558701,84169854,54,54.0,54,short,ERR023453,paired,NaN,streptococcus_pneumoniae,Resistant
191,ERR023457_1.fastq,FASTQ,DNA,3226823,193609380,60,60.0,60,short,ERR023457,paired,4,streptococcus_pneumoniae,Susceptible
192,ERR023457_4.fastq,FASTQ,DNA,3226823,174248442,54,54.0,54,short,ERR023457,paired,NaN,streptococcus_pneumoniae,Susceptible
193,ERR024211_1.fastq,FASTQ,DNA,266830,15919657,53,59.7,60,short,ERR024211,paired,4,streptococcus_pneumoniae,Resistant
