accession,num_hits,num_seqs,num_pred_res,num_pred_int,num_pred_sus,species,actual_phenotype
ERR052023,7,1,0,0,1,streptococcus_pneumoniae,Resistant
ERR052024,102,9,9,0,0,streptococcus_pneumoniae,Resistant
ERR052039,102,10,8,0,2,streptococcus_pneumoniae,Resistant
ERR052325,7,1,0,0,1,streptococcus_pneumoniae,Resistant
ERR052465,7,2,0,0,2,streptococcus_pneumoniae,Resistant
ERR052467,7,2,0,0,2,streptococcus_pneumoniae,Resistant
ERR052526,7,2,0,0,2,streptococcus_pneumoniae,Resistant
ERR053008,190,16,16,0,0,staphylococcus_aureus,Resistant
ERR053016,189,11,11,0,0,staphylococcus_aureus,Resistant
ERR053018,189,19,19,0,0,staphylococcus_aureus,Resistant
ERR053022,189,11,11,0,0,staphylococcus_aureus,Resistant
ERR053025,189,13,13,0,0,staphylococcus_aureus,Resistant
ERR053031,189,10,10,0,0,staphylococcus_aureus,Resistant
ERR053032,189,11,11,0,0,staphylococcus_aureus,Resistant
ERR053034,189,9,9,0,0,staphylococcus_aureus,Resistant
ERR053039,189,11,11,0,0,staphylococcus_aureus,Resistant
ERR053046,0,1,0,0,1,staphylococcus_aureus,Resistant
ERR065296,5,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR065297,7,4,0,0,4,streptococcus_pneumoniae,Intermediate
ERR065300,7,5,0,0,5,streptococcus_pneumoniae,Susceptible
ERR065301,117,49,17,29,3,streptococcus_pneumoniae,Susceptible
ERR065304,6,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR065307,7,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR065310,7,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR065311,8,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR065312,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR065314,102,68,9,58,1,streptococcus_pneumoniae,Intermediate
ERR065317,7,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR065318,5,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR065320,8,3,0,1,2,streptococcus_pneumoniae,Intermediate
ERR065327,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR065328,8,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR065332,7,1,0,1,0,streptococcus_pneumoniae,Intermediate
ERR065337,105,71,11,56,4,streptococcus_pneumoniae,Intermediate
ERR065339,8,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR065340,103,70,13,55,2,streptococcus_pneumoniae,Intermediate
ERR065342,6,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR065348,8,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR065352,7,4,0,1,3,streptococcus_pneumoniae,Intermediate
ERR065353,101,57,11,44,2,streptococcus_pneumoniae,Intermediate
ERR065355,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR065958,7,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR065959,5,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR065969,6,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR067960,7,4,0,0,4,streptococcus_pneumoniae,Susceptible
ERR067963,114,65,11,50,4,streptococcus_pneumoniae,Intermediate
ERR067967,8,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR067969,102,64,14,50,0,streptococcus_pneumoniae,Intermediate
ERR067970,102,71,18,51,2,streptococcus_pneumoniae,Intermediate
ERR067974,7,4,0,0,4,streptococcus_pneumoniae,Susceptible
ERR067976,7,6,0,0,6,streptococcus_pneumoniae,Susceptible
ERR067978,7,3,0,2,1,streptococcus_pneumoniae,Intermediate
ERR067979,5,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR067982,6,6,0,2,4,streptococcus_pneumoniae,Intermediate
ERR067990,105,55,8,45,2,streptococcus_pneumoniae,Intermediate
ERR067995,10,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR067998,104,52,10,41,1,streptococcus_pneumoniae,Intermediate
ERR067999,105,69,16,53,0,streptococcus_pneumoniae,Intermediate
ERR068000,7,5,0,0,5,streptococcus_pneumoniae,Susceptible
ERR068001,102,81,19,61,1,streptococcus_pneumoniae,Intermediate
ERR068004,104,62,12,48,2,streptococcus_pneumoniae,Intermediate
ERR068005,8,2,0,1,1,streptococcus_pneumoniae,Susceptible
ERR068007,10,4,0,2,2,streptococcus_pneumoniae,Intermediate
ERR068012,8,6,0,1,5,streptococcus_pneumoniae,Susceptible
ERR068019,9,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR068023,10,5,0,0,5,streptococcus_pneumoniae,Susceptible
ERR068026,10,4,0,1,3,streptococcus_pneumoniae,Intermediate
ERR068028,9,5,0,0,5,streptococcus_pneumoniae,Intermediate
ERR068031,6,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR068032,8,5,0,1,4,streptococcus_pneumoniae,Intermediate
ERR068033,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR068043,101,53,7,44,2,streptococcus_pneumoniae,Intermediate
ERR068044,7,4,0,0,4,streptococcus_pneumoniae,Susceptible
ERR068046,7,4,0,0,4,streptococcus_pneumoniae,Susceptible
ERR068049,8,2,0,1,1,streptococcus_pneumoniae,Intermediate
ERR069683,6,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR069691,7,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR069694,103,70,11,56,3,streptococcus_pneumoniae,Intermediate
ERR069698,7,4,0,3,1,streptococcus_pneumoniae,Intermediate
ERR069699,102,62,16,42,4,streptococcus_pneumoniae,Intermediate
ERR069700,102,56,12,43,1,streptococcus_pneumoniae,Intermediate
ERR069704,7,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR069705,7,4,0,0,4,streptococcus_pneumoniae,Susceptible
ERR069707,7,5,0,0,5,streptococcus_pneumoniae,Susceptible
ERR069708,7,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR069709,101,66,18,46,2,streptococcus_pneumoniae,Intermediate
ERR069710,101,68,8,56,4,streptococcus_pneumoniae,Intermediate
ERR069712,7,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR069713,7,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR069714,101,59,12,45,2,streptococcus_pneumoniae,Intermediate
ERR069716,7,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR069720,102,65,13,47,5,streptococcus_pneumoniae,Intermediate
ERR069724,7,4,0,0,4,streptococcus_pneumoniae,Intermediate
ERR069725,7,1,0,1,0,streptococcus_pneumoniae,Intermediate
ERR069733,114,11,7,3,1,streptococcus_pneumoniae,Resistant
ERR069734,101,7,5,1,1,streptococcus_pneumoniae,Resistant
ERR069740,117,11,9,1,1,streptococcus_pneumoniae,Resistant
ERR069741,5,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR069744,102,8,7,1,0,streptococcus_pneumoniae,Resistant
ERR069747,102,10,9,1,0,streptococcus_pneumoniae,Resistant
ERR069749,7,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR069757,8,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR069760,7,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR069762,102,28,9,16,3,streptococcus_pneumoniae,Susceptible
ERR069765,7,4,0,0,4,streptococcus_pneumoniae,Susceptible
ERR069773,6,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR069777,103,10,7,1,2,streptococcus_pneumoniae,Resistant
ERR069780,8,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR069781,7,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR069782,7,5,0,0,5,streptococcus_pneumoniae,Susceptible
ERR069786,7,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR069791,102,46,13,33,0,streptococcus_pneumoniae,Susceptible
ERR069792,6,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR069793,102,12,10,0,2,streptococcus_pneumoniae,Resistant
ERR069796,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR069799,6,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR069806,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR069809,7,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR069815,7,4,0,0,4,streptococcus_pneumoniae,Susceptible
ERR069817,102,6,6,0,0,streptococcus_pneumoniae,Resistant
ERR069819,8,4,0,0,4,streptococcus_pneumoniae,Susceptible
ERR069820,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR069830,8,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR069837,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR069842,102,10,10,0,0,streptococcus_pneumoniae,Resistant
ERR069843,102,7,6,0,1,streptococcus_pneumoniae,Resistant
ERR1069824,2,1,0,0,1,staphylococcus_aureus,Susceptible
ERR1069828,2,2,0,0,2,staphylococcus_aureus,Susceptible
ERR1069836,2,1,0,0,1,staphylococcus_aureus,Susceptible
ERR1069837,2,1,0,0,1,staphylococcus_aureus,Susceptible
ERR1069847,2,1,0,0,1,staphylococcus_aureus,Susceptible
ERR1069871,13,2,2,0,0,staphylococcus_aureus,Resistant
ERR1069883,2,3,0,0,3,staphylococcus_aureus,Susceptible
ERR1069892,2,1,0,0,1,staphylococcus_aureus,Susceptible
ERR1069975,2,1,0,0,1,staphylococcus_aureus,Susceptible
ERR1069982,2,1,0,0,1,staphylococcus_aureus,Susceptible
ERR1070008,2,1,0,0,1,staphylococcus_aureus,Susceptible
ERR1070024,2,1,0,0,1,staphylococcus_aureus,Susceptible
ERR1070042,189,14,14,0,0,staphylococcus_aureus,Resistant
ERR1070066,2,2,0,0,2,staphylococcus_aureus,Susceptible
ERR1070067,2,1,0,0,1,staphylococcus_aureus,Susceptible
ERR1143670,74,26,2,0,24,neisseria_gonorrhoeae,Susceptible
ERR1143686,73,14,3,2,9,neisseria_gonorrhoeae,Resistant
ERR1197666,0,1,0,0,1,salmonella_enterica,Resistant
ERR1197672,0,1,1,0,0,salmonella_enterica,Resistant
ERR1197677,0,1,0,0,1,salmonella_enterica,Resistant
ERR1197682,0,2,0,0,2,salmonella_enterica,Resistant
ERR1218574,96,11,11,0,0,klebsiella_pneumoniae,Resistant
ERR1218638,0,3,0,0,3,escherichia_coli,Susceptible
ERR1218765,62,7,7,0,0,klebsiella_pneumoniae,Resistant
ERR1218772,96,9,9,0,0,klebsiella_pneumoniae,Resistant
ERR1218779,0,1,0,0,1,klebsiella_pneumoniae,Susceptible
ERR124222,102,10,6,4,0,streptococcus_pneumoniae,Resistant
ERR124223,8,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR124225,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR124226,6,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR124227,8,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR124233,102,8,8,0,0,streptococcus_pneumoniae,Resistant
ERR124243,6,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR124244,13,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR124247,7,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR124251,7,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR124252,7,4,0,0,4,streptococcus_pneumoniae,Susceptible
ERR124256,7,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR124265,117,46,11,30,5,streptococcus_pneumoniae,Susceptible
ERR124278,5,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR124279,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR124286,102,58,10,46,2,streptococcus_pneumoniae,Intermediate
ERR124294,0,5,0,4,1,streptococcus_pneumoniae,Intermediate
ERR124299,7,4,0,0,4,streptococcus_pneumoniae,Susceptible
ERR124300,7,1,0,0,1,streptococcus_pneumoniae,Resistant
ERR124302,21,4,0,0,4,streptococcus_pneumoniae,Susceptible
ERR124303,102,6,6,0,0,streptococcus_pneumoniae,Resistant
ERR124308,9,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR124311,7,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR124317,7,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR124319,102,62,12,49,1,streptococcus_pneumoniae,Intermediate
ERR129029,7,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR129031,102,11,11,0,0,streptococcus_pneumoniae,Resistant
ERR129036,102,10,9,0,1,streptococcus_pneumoniae,Resistant
ERR129037,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR129038,6,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR129042,8,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR129044,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR129049,0,1,1,0,0,streptococcus_pneumoniae,Resistant
ERR129051,7,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR129055,7,6,0,0,6,streptococcus_pneumoniae,Susceptible
ERR129060,8,1,0,0,1,streptococcus_pneumoniae,Resistant
ERR129066,5,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR129079,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR129082,7,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR129090,7,4,0,0,4,streptococcus_pneumoniae,Susceptible
ERR129092,101,5,3,0,2,streptococcus_pneumoniae,Resistant
ERR129095,6,1,0,0,1,streptococcus_pneumoniae,Resistant
ERR129098,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR129104,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR129108,102,10,8,1,1,streptococcus_pneumoniae,Resistant
ERR129117,9,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR129118,7,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR129134,7,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR129135,7,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR129139,7,4,0,0,4,streptococcus_pneumoniae,Susceptible
ERR129140,18,5,0,0,5,streptococcus_pneumoniae,Susceptible
ERR129142,8,5,0,0,5,streptococcus_pneumoniae,Susceptible
ERR129144,6,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR129152,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR129160,102,11,8,1,2,streptococcus_pneumoniae,Resistant
ERR129163,102,35,15,19,1,streptococcus_pneumoniae,Susceptible
ERR129169,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR129171,7,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR129177,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR129185,103,12,12,0,0,streptococcus_pneumoniae,Resistant
ERR129187,7,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR129193,102,12,11,0,1,streptococcus_pneumoniae,Resistant
ERR129195,101,9,8,1,0,streptococcus_pneumoniae,Resistant
ERR129198,8,2,0,0,2,streptococcus_pneumoniae,Resistant
ERR129204,7,2,0,0,2,streptococcus_pneumoniae,Intermediate
ERR129205,7,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR129208,8,6,0,0,6,streptococcus_pneumoniae,Susceptible
ERR129215,7,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR1407279,14,5,0,0,5,escherichia_coli,Susceptible
ERR1407280,11,3,0,0,3,escherichia_coli,Susceptible
ERR1877610,102,15,15,0,0,salmonella_enterica,Resistant
ERR1878055,0,3,0,0,3,salmonella_enterica,Resistant
ERR1878068,0,2,0,0,2,salmonella_enterica,Resistant
ERR1912619,7,2,0,0,2,escherichia_coli,Susceptible
ERR191730,63,8,4,0,4,neisseria_gonorrhoeae,Resistant
ERR191737,66,6,2,0,4,neisseria_gonorrhoeae,Resistant
ERR191739,65,33,1,17,15,neisseria_gonorrhoeae,Intermediate
ERR191741,70,7,2,0,5,neisseria_gonorrhoeae,Resistant
ERR191746,63,3,1,0,2,neisseria_gonorrhoeae,Resistant
ERR191749,70,42,4,24,14,neisseria_gonorrhoeae,Intermediate
ERR191750,64,5,4,0,1,neisseria_gonorrhoeae,Resistant
ERR191756,63,4,2,0,2,neisseria_gonorrhoeae,Resistant
ERR191758,63,5,3,0,2,neisseria_gonorrhoeae,Resistant
ERR191761,58,3,3,0,0,neisseria_gonorrhoeae,Resistant
ERR191762,62,23,5,12,6,neisseria_gonorrhoeae,Intermediate
ERR191763,69,7,1,2,4,neisseria_gonorrhoeae,Resistant
ERR191766,63,8,6,0,2,neisseria_gonorrhoeae,Resistant
ERR191768,62,4,3,0,1,neisseria_gonorrhoeae,Resistant
ERR191770,63,23,6,10,7,neisseria_gonorrhoeae,Intermediate
ERR191772,70,8,3,0,5,neisseria_gonorrhoeae,Resistant
ERR191773,98,14,7,0,7,neisseria_gonorrhoeae,Resistant
ERR191774,62,5,2,0,3,neisseria_gonorrhoeae,Resistant
ERR191775,63,9,4,0,5,neisseria_gonorrhoeae,Resistant
ERR191776,62,7,5,0,2,neisseria_gonorrhoeae,Resistant
ERR191779,62,24,0,0,24,neisseria_gonorrhoeae,Susceptible
ERR191785,100,13,5,2,6,neisseria_gonorrhoeae,Resistant
ERR191786,62,8,5,1,2,neisseria_gonorrhoeae,Resistant
ERR191789,100,9,3,1,5,neisseria_gonorrhoeae,Resistant
ERR191790,62,4,3,0,1,neisseria_gonorrhoeae,Resistant
ERR191793,98,9,3,0,6,neisseria_gonorrhoeae,Resistant
ERR191795,60,7,4,1,2,neisseria_gonorrhoeae,Resistant
ERR191797,62,5,1,0,4,neisseria_gonorrhoeae,Resistant
ERR191799,78,38,1,19,18,neisseria_gonorrhoeae,Intermediate
ERR191800,68,3,0,1,2,neisseria_gonorrhoeae,Resistant
ERR191802,68,30,2,23,5,neisseria_gonorrhoeae,Intermediate
ERR191803,68,50,0,31,19,neisseria_gonorrhoeae,Intermediate
ERR191805,71,3,3,0,0,neisseria_gonorrhoeae,Resistant
ERR191807,79,24,3,3,18,neisseria_gonorrhoeae,Susceptible
ERR191809,94,5,3,0,2,neisseria_gonorrhoeae,Resistant
ERR191810,65,33,8,15,10,neisseria_gonorrhoeae,Intermediate
ERR191812,71,4,1,1,2,neisseria_gonorrhoeae,Resistant
ERR191817,68,32,5,23,4,neisseria_gonorrhoeae,Intermediate
ERR191818,64,4,1,1,2,neisseria_gonorrhoeae,Resistant
ERR191819,66,4,2,2,0,neisseria_gonorrhoeae,Resistant
ERR191821,71,40,0,28,12,neisseria_gonorrhoeae,Intermediate
ERR191822,63,7,2,0,5,neisseria_gonorrhoeae,Resistant
ERR191823,101,10,6,0,4,neisseria_gonorrhoeae,Resistant
ERR191824,62,5,2,0,3,neisseria_gonorrhoeae,Resistant
ERR191825,73,50,0,41,9,neisseria_gonorrhoeae,Intermediate
ERR2133894,68,26,0,3,23,neisseria_gonorrhoeae,Susceptible
ERR2133895,67,21,0,2,19,neisseria_gonorrhoeae,Susceptible
ERR2133897,70,30,4,1,25,neisseria_gonorrhoeae,Susceptible
ERR2133898,96,28,3,1,24,neisseria_gonorrhoeae,Susceptible
ERR2133899,96,28,3,0,25,neisseria_gonorrhoeae,Susceptible
ERR2133900,97,38,1,1,36,neisseria_gonorrhoeae,Susceptible
ERR2133901,95,39,2,0,37,neisseria_gonorrhoeae,Susceptible
ERR2133903,70,30,0,6,24,neisseria_gonorrhoeae,Susceptible
ERR2133904,70,22,3,2,17,neisseria_gonorrhoeae,Susceptible
ERR2133906,71,31,2,2,27,neisseria_gonorrhoeae,Susceptible
ERR2133907,70,20,0,1,19,neisseria_gonorrhoeae,Susceptible
ERR2133908,70,25,2,1,22,neisseria_gonorrhoeae,Susceptible
ERR2133909,66,22,3,2,17,neisseria_gonorrhoeae,Susceptible
