accession,pred_phenotype,true_phenotype
ERR418766,Resistant,Resistant
ERR418770,Resistant,Resistant
ERR418867,Susceptible,Susceptible
ERR418921,Susceptible,Susceptible
ERR418946,Resistant,Resistant
ERR418986,Susceptible,Susceptible
ERR419005,Resistant,Resistant
ERR419011,Resistant,Resistant
ERR419019,Susceptible,Susceptible
ERR419092,Susceptible,Susceptible
ERR419093,Susceptible,Susceptible
ERR419108,Susceptible,Resistant
ERR419115,Susceptible,Susceptible
ERR419174,Susceptible,Susceptible
ERR419175,Susceptible,Susceptible
ERR449457,Susceptible,Intermediate
ERR449461,Susceptible,Susceptible
ERR449486,Susceptible,Susceptible
ERR449496,Susceptible,Susceptible
ERR449502,Susceptible,Intermediate
ERR449505,Susceptible,Intermediate
ERR449511,Susceptible,Susceptible
ERR485170,Resistant,Intermediate
ERR486343,Susceptible,Resistant
ERR486502,Resistant,Resistant
ERR486770,Susceptible,Resistant
ERR486787,Susceptible,Susceptible
ERR775629,Resistant,Resistant
SRR10037264,Susceptible,Susceptible
SRR10037275,Susceptible,Susceptible
SRR1166957,Susceptible,Resistant
SRR1166987,Susceptible,Susceptible
SRR1167000,Susceptible,Susceptible
SRR1173096,Susceptible,Susceptible
SRR1187772,Resistant,Susceptible
SRR1187780,Susceptible,Susceptible
SRR1187784,Susceptible,Resistant
SRR1363314,Susceptible,Resistant
SRR1427238,Susceptible,Intermediate
SRR15053977,Susceptible,Susceptible
SRR15054010,Resistant,Susceptible
SRR15054011,Susceptible,Susceptible
SRR15054028,Susceptible,Susceptible
SRR15054030,Susceptible,Susceptible
SRR15054038,Susceptible,Susceptible
SRR15054056,Susceptible,Susceptible
SRR15054094,Susceptible,Susceptible
SRR1553769,Resistant,Resistant
SRR1637058,Susceptible,Susceptible
SRR1646564,Susceptible,Susceptible
SRR1661162,Susceptible,Susceptible
SRR1661192,Resistant,Resistant
SRR1661210,Resistant,Resistant
SRR1661224,Susceptible,Intermediate
SRR1661236,Susceptible,Susceptible
SRR1661253,Resistant,Resistant
SRR1661257,Susceptible,Susceptible
SRR1661268,Resistant,Resistant
SRR1661318,Susceptible,Susceptible
SRR1661319,Susceptible,Intermediate
SRR1661320,Susceptible,Intermediate
SRR1695774,Susceptible,Susceptible
SRR1713641,Resistant,Resistant
SRR1767753,Susceptible,Susceptible
SRR1791386,Resistant,Resistant
SRR1813435,Resistant,Resistant
SRR1973650,Susceptible,Susceptible
SRR2033920,Resistant,Resistant
SRR2072210,Susceptible,Susceptible
SRR2072233,Resistant,Resistant
SRR2072243,Resistant,Resistant
SRR2072251,Resistant,Resistant
SRR2072278,Susceptible,Susceptible
SRR2072308,Resistant,Resistant
SRR2072312,Resistant,Resistant
SRR2072332,Resistant,Resistant
SRR2072343,Susceptible,Susceptible
SRR2072361,Susceptible,Susceptible
SRR2072377,Resistant,Resistant
SRR2075884,Resistant,Resistant
SRR2102393,Resistant,Resistant
SRR2239578,Susceptible,Susceptible
SRR2239580,Susceptible,Susceptible
SRR2239584,Susceptible,Susceptible
SRR2239585,Susceptible,Susceptible
SRR2239605,Susceptible,Susceptible
SRR2239614,Susceptible,Resistant
SRR2239615,Susceptible,Susceptible
SRR2239628,Susceptible,Susceptible
SRR2239637,Susceptible,Susceptible
SRR2407568,Susceptible,Susceptible
SRR2407601,Resistant,Resistant
SRR2407646,Susceptible,Resistant
SRR2407716,Resistant,Resistant
SRR2407789,Resistant,Resistant
SRR2407795,Resistant,Resistant
SRR2449168,Susceptible,Resistant
SRR2532631,Resistant,Resistant
SRR2533383,Resistant,Resistant
SRR2566858,Susceptible,Susceptible
SRR2566864,Resistant,Resistant
SRR2566905,Susceptible,Susceptible
SRR2566946,Susceptible,Susceptible
SRR2567014,Susceptible,Susceptible
SRR2567026,Susceptible,Susceptible
SRR2567205,Resistant,Resistant
SRR2669161,Resistant,Resistant
SRR2927307,Susceptible,Susceptible
SRR2973701,Resistant,Resistant
SRR307140,Resistant,Resistant
SRR307607,Resistant,Resistant
SRR3095385,Susceptible,Susceptible
SRR3131130,Resistant,Resistant
SRR3131219,Resistant,Resistant
SRR3131235,Resistant,Resistant
SRR3133087,Intermediate,Intermediate
SRR3137569,Resistant,Intermediate
SRR3138669,Resistant,Resistant
SRR3148215,Susceptible,Susceptible
SRR3152499,Susceptible,Susceptible
SRR3159163,Intermediate,Intermediate
SRR3170608,Resistant,Resistant
SRR3170733,Resistant,Resistant
SRR3171748,Resistant,Resistant
SRR3171764,Resistant,Resistant
SRR3185905,Susceptible,Susceptible
SRR3191437,Susceptible,Susceptible
SRR3194383,Resistant,Resistant
SRR3196130,Susceptible,Susceptible
SRR3196134,Susceptible,Susceptible
SRR3196135,Resistant,Resistant
SRR3197603,Resistant,Susceptible
SRR3201098,Resistant,Resistant
SRR3201124,Susceptible,Susceptible
SRR3214707,Resistant,Resistant
SRR3215128,Resistant,Resistant
SRR3219834,Resistant,Susceptible
SRR3222408,Resistant,Intermediate
SRR3223167,Resistant,Intermediate
SRR3223472,Intermediate,Intermediate
SRR3223482,Susceptible,Susceptible
SRR3223919,Resistant,Intermediate
SRR3224808,Resistant,Intermediate
SRR3224984,Intermediate,Intermediate
SRR3225043,Susceptible,Susceptible
SRR3225049,Susceptible,Susceptible
SRR3227005,Resistant,Intermediate
SRR3227045,Intermediate,Susceptible
SRR3228534,Susceptible,Susceptible
SRR3290090,Susceptible,Susceptible
SRR3295506,Susceptible,Susceptible
SRR3295538,Susceptible,Susceptible
SRR3295584,Resistant,Resistant
SRR3295642,Resistant,Resistant
SRR3295916,Susceptible,Susceptible
SRR3319975,Resistant,Resistant
SRR3319992,Resistant,Resistant
SRR3319994,Susceptible,Susceptible
SRR3321639,Resistant,Resistant
SRR3350801,Resistant,Resistant
SRR3350802,Resistant,Resistant
SRR3350809,Resistant,Resistant
SRR3350836,Resistant,Resistant
SRR3350850,Resistant,Resistant
SRR3350904,Susceptible,Susceptible
SRR3402096,Susceptible,Susceptible
SRR3479997,Resistant,Resistant
SRR3503913,Resistant,Resistant
SRR3504218,Resistant,Resistant
SRR3543479,Susceptible,Susceptible
SRR3543499,Resistant,Resistant
SRR3545861,Susceptible,Susceptible
SRR3545868,Susceptible,Susceptible
SRR3583321,Susceptible,Susceptible
SRR3583323,Susceptible,Susceptible
SRR3611687,Susceptible,Susceptible
SRR3611742,Resistant,Resistant
SRR3664682,Resistant,Resistant
SRR3664790,Resistant,Resistant
SRR3664839,Resistant,Resistant
SRR3664842,Susceptible,Susceptible
SRR3664900,Resistant,Resistant
SRR3664927,Susceptible,Susceptible
SRR3664949,Resistant,Resistant
SRR3665023,Resistant,Resistant
SRR3665061,Susceptible,Susceptible
SRR3665094,Susceptible,Susceptible
SRR3665173,Resistant,Resistant
SRR3665288,Susceptible,Resistant
SRR3666715,Resistant,Resistant
SRR3928610,Resistant,Resistant
SRR3928614,Susceptible,Susceptible
SRR3928684,Resistant,Resistant
SRR3932418,Resistant,Resistant
SRR3982099,Susceptible,Susceptible
SRR3982152,Resistant,Susceptible
SRR3987128,Resistant,Resistant
SRR398901,Resistant,Resistant
SRR3995969,Susceptible,Susceptible
SRR3995973,Resistant,Resistant
SRR3995980,Susceptible,Susceptible
SRR3996243,Resistant,Susceptible
SRR4017840,Susceptible,Resistant
SRR4017853,Susceptible,Resistant
SRR4017929,Resistant,Resistant
SRR4018338,Susceptible,Susceptible
SRR4044442,Susceptible,Susceptible
SRR413939,Resistant,Resistant
SRR4245481,Susceptible,Susceptible
SRR4280595,Resistant,Resistant
SRR4294841,Resistant,Resistant
SRR4417307,Susceptible,Susceptible
SRR4417311,Resistant,Resistant
SRR4417324,Resistant,Resistant
SRR4417329,Susceptible,Susceptible
SRR4417330,Susceptible,Susceptible
SRR4417368,Susceptible,Susceptible
SRR4417369,Susceptible,Susceptible
SRR4417378,Susceptible,Susceptible
SRR4417381,Susceptible,Susceptible
SRR4417393,Resistant,Resistant
SRR4417400,Susceptible,Susceptible
SRR4417407,Susceptible,Susceptible
SRR4417425,Susceptible,Susceptible
SRR4417548,Susceptible,Susceptible
SRR4417550,Resistant,Intermediate
SRR4417561,Susceptible,Susceptible
SRR4417587,Resistant,Resistant
SRR4417591,Resistant,Resistant
SRR4417603,Resistant,Resistant
SRR4417610,Resistant,Resistant
SRR5093538,Susceptible,Resistant
SRR5093674,Susceptible,Resistant
SRR5093717,Susceptible,Resistant
SRR5093748,Susceptible,Resistant
SRR5120214,Resistant,Susceptible
SRR5122325,Susceptible,Resistant
SRR515506,Susceptible,Intermediate
SRR5237398,Resistant,Resistant
SRR5237401,Susceptible,Susceptible
SRR5385415,Susceptible,Intermediate
SRR5385456,Resistant,Resistant
SRR5385485,Susceptible,Susceptible
SRR5385488,Resistant,Resistant
SRR5385636,Resistant,Resistant
SRR5385684,Susceptible,Susceptible
SRR5385720,Susceptible,Susceptible
SRR5385736,Resistant,Resistant
SRR5385768,Resistant,Resistant
SRR5385789,Resistant,Resistant
SRR5385810,Susceptible,Intermediate
SRR5385870,Susceptible,Susceptible
SRR5385915,Susceptible,Susceptible
SRR5385931,Resistant,Resistant
SRR5385932,Resistant,Resistant
SRR5386032,Susceptible,Susceptible
SRR5386168,Resistant,Resistant
SRR5386192,Susceptible,Susceptible
SRR5386215,Susceptible,Susceptible
SRR5386249,Susceptible,Resistant
SRR5386258,Resistant,Resistant
SRR5386293,Susceptible,Susceptible
SRR5386333,Resistant,Resistant
SRR5386370,Susceptible,Resistant
SRR5386371,Resistant,Resistant
SRR5386468,Susceptible,Susceptible
SRR5386532,Susceptible,Susceptible
SRR5386540,Resistant,Resistant
SRR5386666,Resistant,Resistant
SRR5386785,Susceptible,Intermediate
SRR5386811,Susceptible,Intermediate
SRR5386848,Susceptible,Resistant
SRR5386926,Susceptible,Intermediate
SRR5386955,Resistant,Resistant
SRR5387001,Resistant,Resistant
SRR5387007,Susceptible,Susceptible
SRR5387258,Resistant,Resistant
SRR5387260,Susceptible,Intermediate
SRR5387307,Susceptible,Susceptible
SRR5387313,Resistant,Resistant
SRR5387325,Susceptible,Intermediate
SRR5387355,Susceptible,Susceptible
SRR5387411,Resistant,Resistant
SRR5420071,Susceptible,Susceptible
SRR5445911,Susceptible,Susceptible
SRR5445916,Resistant,Resistant
SRR5445917,Susceptible,Susceptible
SRR5445919,Susceptible,Susceptible
SRR5573064,Resistant,Resistant
SRR5642373,Resistant,Intermediate
SRR5642507,Resistant,Susceptible
SRR5642513,Resistant,Susceptible
SRR5806877,Susceptible,Susceptible
SRR5810511,Susceptible,Susceptible
SRR5827021,Intermediate,Intermediate
SRR5827030,Susceptible,Intermediate
SRR5827055,Susceptible,Susceptible
SRR5827066,Susceptible,Susceptible
SRR5827087,Susceptible,Susceptible
SRR5827104,Intermediate,Intermediate
SRR5827150,Susceptible,Susceptible
SRR5827151,Susceptible,Susceptible
SRR5827229,Susceptible,Resistant
SRR5827294,Susceptible,Susceptible
SRR5827306,Susceptible,Susceptible
SRR5827337,Resistant,Resistant
SRR5827347,Resistant,Intermediate
SRR5827366,Susceptible,Susceptible
SRR5827370,Susceptible,Susceptible
SRR5827384,Susceptible,Susceptible
SRR5827391,Susceptible,Intermediate
SRR5862467,Resistant,Resistant
SRR5891491,Resistant,Resistant
SRR5901129,Susceptible,Susceptible
SRR5973239,Susceptible,Resistant
SRR5973255,Susceptible,Susceptible
SRR5973290,Resistant,Resistant
SRR5973332,Susceptible,Susceptible
SRR5973368,Susceptible,Susceptible
SRR5973386,Susceptible,Susceptible
SRR6799380,Susceptible,Resistant
SRR6985644,Susceptible,Susceptible
SRR6994980,Susceptible,Intermediate
SRR8449826,Susceptible,Resistant
SRR850788,Susceptible,Resistant
SRR850998,Susceptible,Susceptible
SRR8737290,Resistant,Susceptible
SRR8737294,Resistant,Resistant
SRR8737304,Susceptible,Resistant
SRR8737317,Resistant,Susceptible
SRR8737318,Susceptible,Susceptible
SRR8737354,Resistant,Resistant
SRR8737363,Susceptible,Intermediate
SRR8737370,Resistant,Susceptible
SRR8737378,Susceptible,Resistant
SRR8737379,Resistant,Resistant
SRR8737431,Susceptible,Susceptible
SRR8737449,Resistant,Resistant
SRR8737462,Susceptible,Resistant
SRR8737509,Susceptible,Resistant
SRR8737510,Susceptible,Susceptible
SRR8737516,Resistant,Intermediate
SRR8737526,Resistant,Susceptible
SRR8737536,Intermediate,Susceptible
SRR8737548,Susceptible,Susceptible
SRR8737550,Resistant,Resistant
SRR8737555,Susceptible,Intermediate
SRR8737559,Resistant,Intermediate
SRR8737560,Resistant,Susceptible
SRR8737562,Susceptible,Resistant
SRR8737587,Susceptible,Resistant
SRR8737591,Resistant,Intermediate
SRR8737610,Susceptible,Intermediate
SRR8737621,Susceptible,Susceptible
SRR8737632,Resistant,Susceptible
SRR8737647,Resistant,Susceptible
SRR8737654,Susceptible,Susceptible
SRR8737659,Resistant,Resistant
SRR8737660,Resistant,Resistant
SRR8737682,Susceptible,Susceptible
SRR900184,Susceptible,Susceptible
SRR960878,Susceptible,Susceptible
SRR960880,Susceptible,Intermediate
SRR960883,Susceptible,Susceptible
SRR969389,Intermediate,Resistant
